FinishTime,ArrivalTime,ServiceTime
1808.08,1803.48,0
1809.9,1805.77,0
1810.9,1805.77,0
1812.71,1807.05,0
1813.71,1807.05,0
1814.71,1807.05,0
1816.49,1807.08,0
1818.33,1808.69,0
1819.7,1811.71,0
1820.7,1811.71,0
1821.7,1811.71,0
1824.12,1817.33,0
1825.54,1822.5,0
1827.86,1824.17,0
1828.86,1824.17,0
1830.96,1826.73,0
1832.65,1829.69,0
1834.7,1831.05,0
1835.7,1831.05,0
1836.7,1831.05,0
1838.75,1832.74,0
1840.14,1833.7,0
1842.05,1836.76,0
1845.2,1839.14,0
1846.71,1841.05,0
1848.66,1843.23,0
1849.66,1843.23,0
1850.66,1843.23,0
1851.66,1843.23,0
1852.66,1843.23,0
1853.66,1843.23,0
1854.66,1843.23,0
1855.66,1843.23,0
1858.37,1847.06,0
1861.57,1857.37,0
1862.57,1857.37,0
1863.57,1857.37,0
1866.03,1859.25,0
1867.84,1860.2,0
1870.47,1868.2,0
1872.76,1869.36,0
1873.76,1869.36,0
1874.82,1869.47,0
1876.79,1871.25,0
1880.74,1875.79,0
1883.86,1879.74,0
1884.97,1881.21,0
1887.55,1882.86,0
1890.8,1886.55,0
1891.87,1888.1,0
1893.54,1888.81,0
1894.62,1889,0
1895.65,1889.8,0
1896.65,1889.8,0
1897.65,1889.8,0
1899.6,1890.87,0
1900.6,1890.87,0
1902.76,1898.6,0
1906.59,1904.73,0
1911.14,1907.67,0
1912.14,1907.67,0
1913.14,1907.67,0
1914.14,1907.67,0
1915.14,1907.67,0
1916.14,1907.67,0
1917.14,1907.67,0
1920.77,1918.63,0
1922.04,1918.79,0
1923.57,1918.95,0
1926.39,1922.55,0
1927.39,1922.55,0
1928.74,1922.57,0
1929.74,1922.57,0
1930.89,1924.42,0
1932.69,1924.48,0
1934.08,1925.39,0
1938,1933.08,0
1939.12,1934.92,0
1940.35,1935.67,0
1943.23,1941,0
1946.26,1944.27,0
1947.26,1944.27,0
1948.74,1944.42,0
1949.74,1944.42,0
1951.05,1944.91,0
1952.05,1944.91,0
1953.12,1945.11,0
1954.23,1945.26,0
1957.22,1955.26,0
1958.22,1955.26,0
1959.43,1955.63,0
1960.93,1955.72,0
1964.37,1961.07,0
1965.92,1961.9,0
1967.57,1962.52,0
1969.71,1964.92,0
1971.1,1969.75,0
1972.1,1969.75,0
1975.83,1972.4,0
1976.83,1972.4,0
1978.55,1973.39,0
1979.55,1973.39,0
1982.81,1977.55,0
1983.81,1977.55,0
1985.94,1981.2,0
1988.9,1984.94,0
1990.24,1986.25,0
1992.41,1987.38,0
1993.94,1987.9,0
1996.58,1991.41,0
2000.44,1997.94,0
2001.44,1997.94,0
2004.05,1999.44,0
2005.76,2002.53,0
2007.4,2003.05,0
2008.4,2003.05,0
2009.4,2003.05,0
2011.74,2006.4,0
2012.74,2006.4,0
2014.58,2010.74,0
2017.31,2013.56,0
2018.31,2013.56,0
2019.61,2013.58,0
2024.72,2020.7,0
2027.85,2025.36,0
2030.84,2026.79,0
2033.62,2031.14,0
2034.77,2032.1,0
2035.77,2032.1,0
2038.27,2033.77,0
2041.05,2038.67,0
2043.44,2041.22,0
2045.19,2042.39,0
2046.45,2042.44,0
2051.05,2048.45,0
2052.05,2048.45,0
2053.46,2048.76,0
2056.35,2052.46,0
2060.14,2057.2,0
2062.21,2058.72,0
2063.84,2059.14,0
2067.75,2064.91,0
2069.57,2065.55,0
2070.8,2066.06,0
2071.8,2066.06,0
2072.8,2066.06,0
2074.2,2066.75,0
2075.24,2068.57,0
2076.24,2068.57,0
2079.03,2069.8,0
2080.03,2069.8,0
2083.01,2078.03,0
2084.75,2080.96,0
2086.74,2081.93,0
2088.53,2083.75,0
2089.53,2083.75,0
2091.61,2085.74,0
2093.94,2090.61,0
2096.44,2091.85,0
2097.44,2091.85,0
2098.44,2091.85,0
2099.81,2092.58,0
2100.81,2092.58,0
2105.52,2101.89,0
2107.29,2103.13,0
2110.13,2107.84,0
2112.29,2108.19,0
2113.79,2108.96,0
2116.04,2110.73,0
2117.04,2110.73,0
2118.13,2111.29,0
2120.16,2114.59,0
2121.16,2114.59,0
2123.47,2118.6,0
2126.99,2122.1,0
2127.99,2122.1,0
2128.99,2122.1,0
2129.99,2122.1,0
2131.11,2122.47,0
2132.11,2122.47,0
2133.11,2122.47,0
2134.11,2122.47,0
2135.11,2122.47,0
2136.11,2122.47,0
2137.11,2122.47,0
2138.11,2122.47,0
2140.26,2125.02,0
2143.06,2141.11,0
2144.22,2141.41,0
2145.22,2141.41,0
2147.03,2141.95,0
2148.03,2141.95,0
2149.63,2142.06,0
2150.63,2142.06,0
2151.94,2145.78,0
2152.94,2145.78,0
2154.11,2146.03,0
2155.34,2148.63,0
2156.34,2148.63,0
2158.88,2154.34,0
2160.84,2157.17,0
2161.84,2157.17,0
2162.84,2157.17,0
2164.18,2157.6,0
2165.18,2157.6,0
2167.4,2165.28,0
2169.53,2165.48,0
2170.53,2165.48,0
2172.79,2166.4,0
2174.1,2168.22,0
2175.1,2168.22,0
2177.15,2171.21,0
2178.15,2171.21,0
2179.15,2171.21,0
2181.18,2173.1,0
2182.74,2175.48,0
2184.47,2179.59,0
2185.89,2181.74,0
2186.94,2182.75,0
2188.81,2183.47,0
2189.81,2183.47,0
2190.81,2183.47,0
2191.97,2184.48,0
2195.07,2190.97,0
2196.61,2192.94,0
2197.83,2193.22,0
2200.08,2195.19,0
2201.39,2195.61,0
2204.08,2198.36,0
2205.14,2199.08,0
